greenspace acres,existing greenway acres,in progress greenway acres,presence of existing greenways,presence of any greenway,pop,displacement,greenway to greenspace ratio,greenway to population ratio
418.60203545999997,183.50152012,183.50152012,1,1,23840,-2819,0.43836748170216366,0.00769721141442953
568.7538756499999,0.0,401.79148384999996,0,1,54533,372,0.0,0.0
589.7462752099999,183.50152012,184.0497468,1,1,122191,-4718,0.3111533346347255,0.001501759705051927
65.91124654,0.0,0.0,0,0,19120,-770,0.0,0.0
255.83183062,4.74406398,0.0,1,1,43066,-4197,0.018543681482100633,0.00011015798959736218
934.32259027,189.04167408,189.04167408,1,1,34172,-4752,0.20233019735225588,0.005532063504623669
743.95578997,0.0,0.0,0,0,40015,-852,0.0,0.0
27.20438636,0.0,0.0,0,0,17518,132,0.0,0.0
209.7417969,0.0,0.0,0,0,29586,-435,0.0,0.0
208.25169892000002,16.85070443,0.0,1,1,37917,1145,0.08091508745133073,0.0004444102758657067
19.979065499999997,0.0,0.0,0,0,30904,-1667,0.0,0.0
987.8139695500001,0.0,0.0,0,0,31561,-1965,0.0,0.0
290.61555541,241.99672544000003,0.97100607,1,1,37493,4004,0.8327039655485454,0.006454450842557278
118.71911351,70.10028354,0.97100607,1,1,5186,-165,0.5904717569685634,0.013517216263015813
419.44953785000007,171.8964419,0.0,1,1,24904,5643,0.4098143552168417,0.006902362748955991
256.47553501000004,171.8964419,10.87118254,1,1,18190,407,0.670225493021382,0.009450051781198461
419.44953785000007,171.8964419,0.0,1,1,52047,-3250,0.4098143552168417,0.0033027156589236655
171.8964419,171.8964419,0.0,1,1,7705,1086,1.0,0.022309726398442573
